"Ligne_num";"NOMVOIE";"ID_DEFAUT";"PK_DEFAUT";"PROFIL_RAIL";"ANNEE_POSE";"VITESSE";"GROUPE_UIC";"RAYON_COURBE";"ID_TYPE_CLASSEMENT";"ID_TYPE_EMPLACEMENT";"ID_TYPE_DEFAUT";"Annee_Decouverte"
229000;"V2";2806977;"110+0764";"U33";1999;130;"7AV";1515;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806979;"110+0452";"U33";1999;130;"7AV";1087;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806980;"110+0388";"U33";1999;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806983;"109+0871";"U33";1961;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806984;"109+0861";"U33";1961;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V2";2806985;"109+0861";"U33";1961;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807016;"109+0415";"U33";1961;130;"7AV";1429;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807032;"108+0077";"U33";1961;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807040;"107+0815";"U33";1961;130;"7AV";746;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807054;"106+0220";"U33";1961;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807065;"105+0158";"U50";1966;130;"7AV";481;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807072;"103+0308";"U33";1973;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807074;"103+0295";"U33";1973;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807076;"103+0220";"U33";1973;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807079;"102+0375";"U36";1973;130;"7AV";1020;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807080;"102+0371";"U36";1973;130;"7AV";1020;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807085;"101+0574";"U36";1973;130;"7AV";1020;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807086;"101+0544";"U36";1973;130;"7AV";1020;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807102;"100+0835";"U36";1973;130;"7AV";893;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807106;"099+0685";"U33";1980;130;"7AV";1163;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807120;"098+0855";"U33";1980;130;"7AV";1163;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807131;"096+0781";"U33";1980;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807136;"096+0593";"U33";1980;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807137;"096+0593";"U33";1980;130;"7AV";0;"O";"Ciel ouvert";"2270";2016
